,1111111111,1111114444,1111144447,1111223344,1111234444,1111234567,1111444444,1111444477,1111556677,1114556677,1234556677,1455666777,2233445677
0,0.413,0.414,0.412,0.407,0.407,0.419,0.412,0.422,0.444,0.446,0.439,0.454,0.431
1,0.312,0.311,0.317,0.317,0.316,0.319,0.318,0.315,0.336,0.335,0.336,0.348,0.333
2,0.274,0.274,0.281,0.284,0.279,0.289,0.284,0.281,0.3,0.3,0.31,0.321,0.298
3,0.248,0.254,0.255,0.255,0.254,0.264,0.26,0.261,0.281,0.282,0.279,0.3,0.278
4,0.227,0.233,0.236,0.241,0.236,0.242,0.242,0.249,0.267,0.268,0.272,0.296,0.265
5,0.213,0.217,0.226,0.228,0.222,0.235,0.225,0.236,0.252,0.253,0.264,0.296,0.255
6,0.204,0.209,0.212,0.213,0.206,0.227,0.217,0.219,0.245,0.246,0.253,0.285,0.241
7,0.196,0.198,0.206,0.203,0.201,0.219,0.204,0.211,0.24,0.244,0.25,0.272,0.239
8,0.187,0.192,0.199,0.196,0.194,0.209,0.204,0.203,0.234,0.235,0.239,0.273,0.229
9,0.18,0.182,0.196,0.187,0.186,0.2,0.193,0.196,0.233,0.229,0.238,0.266,0.228
10,0.172,0.174,0.187,0.18,0.182,0.199,0.187,0.195,0.22,0.23,0.234,0.258,0.223
11,0.165,0.17,0.179,0.172,0.175,0.195,0.18,0.185,0.216,0.226,0.23,0.267,0.216
12,0.158,0.167,0.173,0.166,0.171,0.188,0.172,0.181,0.214,0.219,0.226,0.257,0.218
13,0.152,0.162,0.173,0.164,0.169,0.187,0.169,0.175,0.212,0.216,0.222,0.251,0.215
14,0.152,0.156,0.168,0.159,0.167,0.18,0.171,0.176,0.211,0.214,0.221,0.251,0.206
15,0.149,0.152,0.165,0.153,0.156,0.178,0.16,0.174,0.201,0.209,0.216,0.248,0.203
16,0.145,0.148,0.162,0.153,0.155,0.176,0.159,0.172,0.202,0.209,0.221,0.251,0.205
17,0.141,0.145,0.155,0.151,0.151,0.174,0.155,0.164,0.203,0.204,0.212,0.246,0.199
18,0.137,0.143,0.156,0.146,0.149,0.173,0.149,0.162,0.196,0.208,0.22,0.249,0.197
